"species_id","egg_group_name"
1,"Monster"
1,"Grass"
2,"Monster"
2,"Grass"
3,"Monster"
3,"Grass"
4,"Monster"
4,"Dragon"
5,"Monster"
5,"Dragon"
6,"Monster"
6,"Dragon"
7,"Monster"
7,"Water 1"
8,"Monster"
8,"Water 1"
9,"Monster"
9,"Water 1"
10,"Bug"
11,"Bug"
12,"Bug"
13,"Bug"
14,"Bug"
15,"Bug"
16,"Flying"
17,"Flying"
18,"Flying"
19,"Field"
20,"Field"
21,"Flying"
22,"Flying"
23,"Field"
23,"Dragon"
24,"Field"
24,"Dragon"
25,"Field"
25,"Fairy"
26,"Field"
26,"Fairy"
27,"Field"
28,"Field"
29,"Monster"
29,"Field"
30,"Undiscovered"
31,"Undiscovered"
32,"Monster"
32,"Field"
33,"Monster"
33,"Field"
34,"Monster"
34,"Field"
35,"Fairy"
36,"Fairy"
37,"Field"
38,"Field"
39,"Fairy"
40,"Fairy"
41,"Flying"
42,"Flying"
43,"Grass"
44,"Grass"
45,"Grass"
46,"Bug"
46,"Grass"
47,"Bug"
47,"Grass"
48,"Bug"
49,"Bug"
50,"Field"
51,"Field"
52,"Field"
53,"Field"
54,"Water 1"
54,"Field"
55,"Water 1"
55,"Field"
56,"Field"
57,"Field"
58,"Field"
59,"Field"
60,"Water 1"
61,"Water 1"
62,"Water 1"
63,"Human-Like"
64,"Human-Like"
65,"Human-Like"
66,"Human-Like"
67,"Human-Like"
68,"Human-Like"
69,"Grass"
70,"Grass"
71,"Grass"
72,"Water 3"
73,"Water 3"
74,"Mineral"
75,"Mineral"
76,"Mineral"
77,"Field"
78,"Field"
79,"Monster"
79,"Water 1"
80,"Monster"
80,"Water 1"
81,"Mineral"
82,"Mineral"
83,"Flying"
83,"Field"
84,"Flying"
85,"Flying"
86,"Water 1"
86,"Field"
87,"Water 1"
87,"Field"
88,"Amorphous"
89,"Amorphous"
90,"Water 3"
91,"Water 3"
92,"Amorphous"
93,"Amorphous"
94,"Amorphous"
95,"Mineral"
96,"Human-Like"
97,"Human-Like"
98,"Water 3"
99,"Water 3"
100,"Mineral"
101,"Mineral"
102,"Grass"
103,"Grass"
104,"Monster"
105,"Monster"
106,"Human-Like"
107,"Human-Like"
108,"Monster"
109,"Amorphous"
110,"Amorphous"
111,"Monster"
111,"Field"
112,"Monster"
112,"Field"
113,"Fairy"
114,"Grass"
115,"Monster"
116,"Water 1"
116,"Dragon"
117,"Water 1"
117,"Dragon"
118,"Water 2"
119,"Water 2"
120,"Water 3"
121,"Water 3"
122,"Human-Like"
123,"Bug"
124,"Human-Like"
125,"Human-Like"
126,"Human-Like"
127,"Bug"
128,"Field"
129,"Water 2"
129,"Dragon"
130,"Water 2"
130,"Dragon"
131,"Monster"
131,"Water 1"
132,"Ditto"
133,"Field"
134,"Field"
135,"Field"
136,"Field"
137,"Mineral"
138,"Water 1"
138,"Water 3"
139,"Water 1"
139,"Water 3"
140,"Water 1"
140,"Water 3"
141,"Water 1"
141,"Water 3"
142,"Flying"
143,"Monster"
144,"Undiscovered"
145,"Undiscovered"
146,"Undiscovered"
147,"Water 1"
147,"Dragon"
148,"Water 1"
148,"Dragon"
149,"Water 1"
149,"Dragon"
150,"Undiscovered"
151,"Undiscovered"
152,"Monster"
152,"Grass"
153,"Monster"
153,"Grass"
154,"Monster"
154,"Grass"
155,"Field"
156,"Field"
157,"Field"
158,"Monster"
158,"Water 1"
159,"Monster"
159,"Water 1"
160,"Monster"
160,"Water 1"
161,"Field"
162,"Field"
163,"Flying"
164,"Flying"
165,"Bug"
166,"Bug"
167,"Bug"
168,"Bug"
169,"Flying"
170,"Water 2"
171,"Water 2"
172,"Undiscovered"
173,"Undiscovered"
174,"Undiscovered"
175,"Undiscovered"
176,"Flying"
176,"Fairy"
177,"Flying"
178,"Flying"
179,"Monster"
179,"Field"
180,"Monster"
180,"Field"
181,"Monster"
181,"Field"
182,"Grass"
183,"Water 1"
183,"Fairy"
184,"Water 1"
184,"Fairy"
185,"Mineral"
186,"Water 1"
187,"Fairy"
187,"Grass"
188,"Fairy"
188,"Grass"
189,"Fairy"
189,"Grass"
190,"Field"
191,"Grass"
192,"Grass"
193,"Bug"
194,"Water 1"
194,"Field"
195,"Water 1"
195,"Field"
196,"Field"
197,"Field"
198,"Flying"
199,"Monster"
199,"Water 1"
200,"Amorphous"
201,"Undiscovered"
202,"Amorphous"
203,"Field"
204,"Bug"
205,"Bug"
206,"Field"
207,"Bug"
208,"Mineral"
209,"Field"
209,"Fairy"
210,"Field"
210,"Fairy"
211,"Water 2"
212,"Bug"
213,"Bug"
214,"Bug"
215,"Field"
216,"Field"
217,"Field"
218,"Amorphous"
219,"Amorphous"
220,"Field"
221,"Field"
222,"Water 1"
222,"Water 3"
223,"Water 1"
223,"Water 2"
224,"Water 1"
224,"Water 2"
225,"Water 1"
225,"Field"
226,"Water 1"
227,"Flying"
228,"Field"
229,"Field"
230,"Water 1"
230,"Dragon"
231,"Field"
232,"Field"
233,"Mineral"
234,"Field"
235,"Field"
236,"Undiscovered"
237,"Human-Like"
238,"Undiscovered"
239,"Undiscovered"
240,"Undiscovered"
241,"Field"
242,"Fairy"
243,"Undiscovered"
244,"Undiscovered"
245,"Undiscovered"
246,"Monster"
247,"Monster"
248,"Monster"
249,"Undiscovered"
250,"Undiscovered"
251,"Undiscovered"
252,"Monster"
252,"Dragon"
253,"Monster"
253,"Dragon"
254,"Monster"
254,"Dragon"
255,"Field"
256,"Field"
257,"Field"
258,"Monster"
258,"Water 1"
259,"Monster"
259,"Water 1"
260,"Monster"
260,"Water 1"
261,"Field"
262,"Field"
263,"Field"
264,"Field"
265,"Bug"
266,"Bug"
267,"Bug"
268,"Bug"
269,"Bug"
270,"Water 1"
270,"Grass"
271,"Water 1"
271,"Grass"
272,"Water 1"
272,"Grass"
273,"Field"
273,"Grass"
274,"Field"
274,"Grass"
275,"Field"
275,"Grass"
276,"Flying"
277,"Flying"
278,"Water 1"
278,"Flying"
279,"Water 1"
279,"Flying"
280,"Amorphous"
281,"Amorphous"
282,"Amorphous"
283,"Water 1"
283,"Bug"
284,"Water 1"
284,"Bug"
285,"Fairy"
285,"Grass"
286,"Fairy"
286,"Grass"
287,"Field"
